pais,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Alemania,5819.614,6213.46,6045.73,5209.857,5905.985,6146.948,5649.26,5718.222,5907.548,6033.164
Argentina,432.101,544.647,596.745,512.924,716.54,828.771,764.495,791.007,617.329,533.683
Australia,331.768,334.617,329.556,227.283,244.007,224.193,226.502,215.926,180.311,173.009
Belgica,918.056,834.403,724.498,537.354,555.302,595.084,538.848,503.504,516.831,409.34
Brasil,2611.034,2970.818,3215.976,3182.923,3381.728,3407.861,3402.508,3712.38,3146.386,2429.463
Canada,2571.366,2578.238,2082.241,1490.482,2068.189,2135.121,2463.364,2379.806,2394.154,2283.474
China,7277.899,8882.456,9299.18,13790.994,18264.761,18418.876,19271.808,22116.825,23731.6,24503.326
Espana,2777.435,2889.703,2541.644,2170.078,2387.9,2373.329,1979.179,2163.338,2402.978,2733.201
Estados Unidos,11292.123,10780.729,8672.141,5709.431,7743.093,8661.535,10335.765,11066.432,11660.702,12100.095
Francia,3169.219,3015.854,2568.978,2047.693,2229.421,2242.928,1967.765,1740,1821.464,1970
Republica de la India,2016.511,2306.768,2332.328,2641.55,3557.073,3927.411,4174.713,3880.938,3844.857,4125.744
Indonesia,297.062,412.788,600.628,464.816,702.508,838.388,1052.895,1206.368,1298.523,1098.78
Reino Unido,1649.792,1750.253,1649.515,1090.139,1393.463,1463.999,1576.945,1597.872,1598.879,1682.156
Iran,904.5,997.24,1273.781,1394.075,1599.454,1649.311,1000.089,743.68,1090.846,982.337
Italia,1211.594,1284.312,1023.774,843.239,838.186,790.348,671.768,658.207,697.864,1014.223
Japon,11484.233,11596.327,11575.644,7934.057,9628.92,8398.63,9943.077,9630.181,9774.665,9278.238
Corea del Sur,3840.102,4086.308,3826.682,3512.926,4271.741,4657.094,4561.766,4521.429,4524.932,4555.957
Malasia,502.973,441.661,530.81,489.269,567.715,533.695,569.62,601.407,595.134,614.671
Mexico,2069.212,2096.97,2163.717,1559.186,2340.221,2683.363,3022.947,3070.134,3328.984,3590.054
Holanda (Paises Bajos),159.454,138.568,132.494,76.751,94.132,73.151,55.639,29.183,31.428,44.122
Polonia,714.6,784.7,952.84,878.998,869.474,838.133,654.756,583.258,593.504,660.603
Republica Checa,854.817,938.527,946.567,983.243,1076.384,1199.845,1178.995,1132.931,1251.22,1303.603
Republica Eslovaca,295.391,571.071,575.776,461.34,561.933,639.763,926.555,975,971.16,1000.001
Rumania,213.597,241.712,245.308,296.498,350.912,335.232,337.765,410.997,391.434,387.177
Rusia,1503.469,1660.12,1790.301,725.012,1403.244,1990.155,2233.103,2175.311,1887.193,1384.399
Suecia,333.072,366.02,308.299,156.436,217.084,188.969,162.814,161.08,154.174,188.987
Sudafrica,587.719,534.49,562.965,373.923,472.049,532.545,539.424,545.913,566.083,615.658
Tailandia,1193.903,1287.346,1393.742,999.378,1644.513,1457.798,2429.142,2457.057,1880.587,1915.42
Taiwan,303.229,283.039,182.974,226.356,303.456,343.296,339.038,338.72,379.223,351.085
Turquia,987.78,1099.414,1147.11,869.605,1094.557,1189.131,1072.978,1125.534,1170.445,1358.796
Ucrania,288.203,402.591,423.127,69.295,83.133,104.654,76.281,50.449,28.751,8.244
